Enter SFTP password: 
2026/03/13 11:16:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_142000.WAV: Copied (new)
2026/03/13 11:16:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_202000.WAV: Copied (new)
2026/03/13 11:16:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_204000.WAV: Copied (new)
2026/03/13 11:16:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_210000.WAV: Copied (new)
2026/03/13 11:16:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_214000.WAV: Copied (new)
2026/03/13 11:16:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_212000.WAV: Copied (new)
2026/03/13 11:16:40 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_220000.WAV: Copied (new)
2026/03/13 11:16:40 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_222000.WAV: Copied (new)
2026/03/13 11:16:40 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_224000.WAV: Copied (new)
2026/03/13 11:16:40 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_230000.WAV: Copied (new)
2026/03/13 11:16:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_232000.WAV: Copied (new)
2026/03/13 11:16:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_234000.WAV: Copied (new)
2026/03/13 11:16:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_000000.WAV: Copied (new)
2026/03/13 11:16:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_002000.WAV: Copied (new)
2026/03/13 11:16:52 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_004000.WAV: Copied (new)
2026/03/13 11:16:52 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_010000.WAV: Copied (new)
2026/03/13 11:16:52 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_012000.WAV: Copied (new)
2026/03/13 11:16:52 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_014000.WAV: Copied (new)
2026/03/13 11:17:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_020000.WAV: Copied (new)
2026/03/13 11:17:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_022000.WAV: Copied (new)
2026/03/13 11:17:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_024000.WAV: Copied (new)
2026/03/13 11:17:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_030000.WAV: Copied (new)
2026/03/13 11:17:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_032000.WAV: Copied (new)
2026/03/13 11:17:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_034000.WAV: Copied (new)
2026/03/13 11:17:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_040000.WAV: Copied (new)
2026/03/13 11:17:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_042000.WAV: Copied (new)
2026/03/13 11:17:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_044000.WAV: Copied (new)
2026/03/13 11:17:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_050000.WAV: Copied (new)
2026/03/13 11:17:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_054000.WAV: Copied (new)
2026/03/13 11:17:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_052000.WAV: Copied (new)
2026/03/13 11:17:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_060000.WAV: Copied (new)
2026/03/13 11:17:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_064000.WAV: Copied (new)
2026/03/13 11:17:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_062000.WAV: Copied (new)
2026/03/13 11:17:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_070000.WAV: Copied (new)
2026/03/13 11:17:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_072000.WAV: Copied (new)
2026/03/13 11:17:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_074000.WAV: Copied (new)
2026/03/13 11:17:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_082000.WAV: Copied (new)
2026/03/13 11:17:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_080000.WAV: Copied (new)
2026/03/13 11:17:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_090000.WAV: Copied (new)
2026/03/13 11:17:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_084000.WAV: Copied (new)
2026/03/13 11:17:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_092000.WAV: Copied (new)
2026/03/13 11:17:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_094000.WAV: Copied (new)
2026/03/13 11:17:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_100000.WAV: Copied (new)
2026/03/13 11:17:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_102000.WAV: Copied (new)
2026/03/13 11:17:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_110000.WAV: Copied (new)
2026/03/13 11:17:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_104000.WAV: Copied (new)
2026/03/13 11:17:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_112000.WAV: Copied (new)
2026/03/13 11:17:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_120000.WAV: Copied (new)
2026/03/13 11:17:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_114000.WAV: Copied (new)
2026/03/13 11:17:40 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_122000.WAV: Copied (new)
2026/03/13 11:17:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_124000.WAV: Copied (new)
2026/03/13 11:17:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_130000.WAV: Copied (new)
2026/03/13 11:17:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_132000.WAV: Copied (new)
2026/03/13 11:17:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_134000.WAV: Copied (new)
2026/03/13 11:17:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_140000.WAV: Copied (new)
2026/03/13 11:17:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_142000.WAV: Copied (new)
2026/03/13 11:17:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_144000.WAV: Copied (new)
2026/03/13 11:17:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_150000.WAV: Copied (new)
2026/03/13 11:18:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_152000.WAV: Copied (new)
2026/03/13 11:18:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_154000.WAV: Copied (new)
2026/03/13 11:18:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_160000.WAV: Copied (new)
2026/03/13 11:18:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_162000.WAV: Copied (new)
2026/03/13 11:18:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_164000.WAV: Copied (new)
2026/03/13 11:18:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_170000.WAV: Copied (new)
2026/03/13 11:18:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_172000.WAV: Copied (new)
2026/03/13 11:18:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_174000.WAV: Copied (new)
2026/03/13 11:18:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_180000.WAV: Copied (new)
2026/03/13 11:18:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_182000.WAV: Copied (new)
2026/03/13 11:18:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_184000.WAV: Copied (new)
2026/03/13 11:18:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_190000.WAV: Copied (new)
2026/03/13 11:18:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_194000.WAV: Copied (new)
2026/03/13 11:18:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_192000.WAV: Copied (new)
2026/03/13 11:18:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_200000.WAV: Copied (new)
2026/03/13 11:18:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_202000.WAV: Copied (new)
2026/03/13 11:18:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_204000.WAV: Copied (new)
2026/03/13 11:18:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_210000.WAV: Copied (new)
2026/03/13 11:18:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_212000.WAV: Copied (new)
2026/03/13 11:18:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_214000.WAV: Copied (new)
2026/03/13 11:18:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_222000.WAV: Copied (new)
2026/03/13 11:18:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_220000.WAV: Copied (new)
2026/03/13 11:18:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_224000.WAV: Copied (new)
2026/03/13 11:18:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_230000.WAV: Copied (new)
2026/03/13 11:18:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_232000.WAV: Copied (new)
2026/03/13 11:18:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230122_234000.WAV: Copied (new)
2026/03/13 11:18:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_002000.WAV: Copied (new)
2026/03/13 11:18:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_000000.WAV: Copied (new)
2026/03/13 11:18:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_004000.WAV: Copied (new)
2026/03/13 11:18:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_012000.WAV: Copied (new)
2026/03/13 11:18:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_010000.WAV: Copied (new)
2026/03/13 11:18:39 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_014000.WAV: Copied (new)
2026/03/13 11:18:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_020000.WAV: Copied (new)
2026/03/13 11:18:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_022000.WAV: Copied (new)
2026/03/13 11:18:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_024000.WAV: Copied (new)
2026/03/13 11:18:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_030000.WAV: Copied (new)
2026/03/13 11:18:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_032000.WAV: Copied (new)
2026/03/13 11:18:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_034000.WAV: Copied (new)
2026/03/13 11:18:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_040000.WAV: Copied (new)
2026/03/13 11:18:51 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_042000.WAV: Copied (new)
2026/03/13 11:19:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_044000.WAV: Copied (new)
2026/03/13 11:19:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_050000.WAV: Copied (new)
2026/03/13 11:19:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_052000.WAV: Copied (new)
2026/03/13 11:19:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_054000.WAV: Copied (new)
2026/03/13 11:19:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_060000.WAV: Copied (new)
2026/03/13 11:19:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_062000.WAV: Copied (new)
2026/03/13 11:19:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_064000.WAV: Copied (new)
2026/03/13 11:19:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_070000.WAV: Copied (new)
2026/03/13 11:19:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_072000.WAV: Copied (new)
2026/03/13 11:19:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_074000.WAV: Copied (new)
2026/03/13 11:19:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_080000.WAV: Copied (new)
2026/03/13 11:19:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_082000.WAV: Copied (new)
2026/03/13 11:19:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_084000.WAV: Copied (new)
2026/03/13 11:19:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_090000.WAV: Copied (new)
2026/03/13 11:19:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_092000.WAV: Copied (new)
2026/03/13 11:19:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_094000.WAV: Copied (new)
2026/03/13 11:19:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_100000.WAV: Copied (new)
2026/03/13 11:19:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_102000.WAV: Copied (new)
2026/03/13 11:19:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_104000.WAV: Copied (new)
2026/03/13 11:19:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_110000.WAV: Copied (new)
2026/03/13 11:19:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_112000.WAV: Copied (new)
2026/03/13 11:19:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_114000.WAV: Copied (new)
2026/03/13 11:19:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_120000.WAV: Copied (new)
2026/03/13 11:19:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_122000.WAV: Copied (new)
2026/03/13 11:19:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_124000.WAV: Copied (new)
2026/03/13 11:19:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_130000.WAV: Copied (new)
2026/03/13 11:19:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_132000.WAV: Copied (new)
2026/03/13 11:19:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_134000.WAV: Copied (new)
2026/03/13 11:19:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_140000.WAV: Copied (new)
2026/03/13 11:19:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_142000.WAV: Copied (new)
2026/03/13 11:19:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_144000.WAV: Copied (new)
2026/03/13 11:19:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_150000.WAV: Copied (new)
2026/03/13 11:19:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_152000.WAV: Copied (new)
2026/03/13 11:19:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_154000.WAV: Copied (new)
2026/03/13 11:19:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_160000.WAV: Copied (new)
2026/03/13 11:19:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_162000.WAV: Copied (new)
2026/03/13 11:19:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_164000.WAV: Copied (new)
2026/03/13 11:19:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_170000.WAV: Copied (new)
2026/03/13 11:19:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_172000.WAV: Copied (new)
2026/03/13 11:19:50 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_174000.WAV: Copied (new)
2026/03/13 11:20:00 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_180000.WAV: Copied (new)
2026/03/13 11:20:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_182000.WAV: Copied (new)
2026/03/13 11:20:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_184000.WAV: Copied (new)
2026/03/13 11:20:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_190000.WAV: Copied (new)
2026/03/13 11:20:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_192000.WAV: Copied (new)
2026/03/13 11:20:01 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_194000.WAV: Copied (new)
2026/03/13 11:20:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_200000.WAV: Copied (new)
2026/03/13 11:20:02 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_202000.WAV: Copied (new)
2026/03/13 11:20:12 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_204000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_210000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_212000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_214000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_222000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_220000.WAV: Copied (new)
2026/03/13 11:20:13 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_224000.WAV: Copied (new)
2026/03/13 11:20:14 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_230000.WAV: Copied (new)
2026/03/13 11:20:24 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_232000.WAV: Copied (new)
2026/03/13 11:20:24 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230123_234000.WAV: Copied (new)
2026/03/13 11:20:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_000000.WAV: Copied (new)
2026/03/13 11:20:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_002000.WAV: Copied (new)
2026/03/13 11:20:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_004000.WAV: Copied (new)
2026/03/13 11:20:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_010000.WAV: Copied (new)
2026/03/13 11:20:25 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_012000.WAV: Copied (new)
2026/03/13 11:20:26 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_014000.WAV: Copied (new)
2026/03/13 11:20:36 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_020000.WAV: Copied (new)
2026/03/13 11:20:36 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_022000.WAV: Copied (new)
2026/03/13 11:20:36 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_024000.WAV: Copied (new)
2026/03/13 11:20:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_030000.WAV: Copied (new)
2026/03/13 11:20:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_034000.WAV: Copied (new)
2026/03/13 11:20:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_032000.WAV: Copied (new)
2026/03/13 11:20:37 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_040000.WAV: Copied (new)
2026/03/13 11:20:38 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_042000.WAV: Copied (new)
2026/03/13 11:20:48 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_044000.WAV: Copied (new)
2026/03/13 11:20:48 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_050000.WAV: Copied (new)
2026/03/13 11:20:48 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_052000.WAV: Copied (new)
2026/03/13 11:20:48 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_054000.WAV: Copied (new)
2026/03/13 11:20:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_060000.WAV: Copied (new)
2026/03/13 11:20:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_062000.WAV: Copied (new)
2026/03/13 11:20:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_064000.WAV: Copied (new)
2026/03/13 11:20:49 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_070000.WAV: Copied (new)
2026/03/13 11:21:00 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230124_072000.WAV: Copied (new)
